Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,Price
61,234,194,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Coupe,Rolls-Royce,2010 Rolls-Royce Phantom Coupe,2010,453,531,144000
85,109,242,Four-wheel drive,Land Rover 5.0L 8 Cylinder 375 hp 375 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,18,Automatic transmission,2010 Land Rover Range Rover HSE,Land Rover,2010 Land Rover Range Rover,2010,375,375,22000
200,42,29,Front-wheel drive,Suzuki 2.4L 4 Cylinder 180 hp 170 ft-lbs,TRUE,6,6 Speed Manual,20,Gasoline,29,Manual transmission,2012 Suzuki Kizashi Sport GTS,Suzuki,2012 Suzuki Kizashi,2012,180,170,5300
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2011 Toyota Highlander Limited 4WD,Toyota,2011 Toyota Highlander,2011,270,248,10000
130,184,224,Four-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,TRUE,5,5 Speed Automatic,9,E85,12,Automatic transmission,2011 Dodge Ram 1500 SLT Crew Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,310,330,16500
147,95,248,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2012 Audi A4 Sedan 2.0 T Quattro,Audi,2012 Audi A4 Sedan,2012,211,258,12000
160,228,8,All-wheel drive,Lexus 2.5L 6 Cylinder 204 hp 185 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,27,Automatic transmission,2012 Lexus IS 250 AWD,Lexus,2012 Lexus IS,2012,204,185,21700
193,251,49,All-wheel drive,Cadillac 3.6L 6 Cylinder 318 hp 275 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2012 Cadillac CTS Sport Sedan Performance AWD,Cadillac,2012 Cadillac CTS Sport Sedan,2012,318,275,15200
228,58,158,Front-wheel drive,Toyota 1.5L 4 Cylinder 106 hp 103 ft-lbs,TRUE,4,4 Speed Automatic,30,Gasoline,35,Automatic transmission,2012 Toyota Yaris 3-Door Liftback LE,Toyota,2012 Toyota Yaris 3-Door Liftback,2012,106,103,9400
132,169,85,Rear-wheel drive,Ford 4.6L 8 Cylinder 315 hp 325 ft-lbs,TRUE,5,5 Speed Manual,16,Gasoline,24,Manual transmission,2010 Ford Mustang GT Premium,Ford,2010 Ford Mustang Coup,2010,315,325,15900
13,42,229,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,21,Gasoline,29,Automatic transmission,2010 Toyota Matrix S AT,Toyota,2010 Toyota Matrix,2010,158,162,14000
95,45,212,Rear-wheel drive,Ford 4.6L 8 cylinder 292 hp 320 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Ford F-150 XL SuperCrew 6.5-ft. Bed  292 hp,Ford,2010 Ford F-150,2010,292,320,10300
6,57,55,Four-wheel drive,Jeep 3.8L 6 Cylinder 205 hp 240 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,19,Automatic transmission,2010 Jeep Wrangler Unlimited Sport AT 4x4,Jeep,2010 Jeep Wrangler,2010,205,240,20700
160,107,48,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,19,Gasoline,28,Automatic transmission,2012 Acura TSX V-6,Acura,2012 Acura TSX,2012,280,254,11100
148,98,57,Front-wheel drive,GMC 2.4L 4 Cylinder 182 hp 172 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,32,Automatic transmission,2011 GMC Terrain SLE-1,GMC,2011 GMC Terrain,2011,182,172,11900
191,198,29,Front-wheel drive,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,33,Manual transmission,2011 Toyota Camry,Toyota,2011 Toyota Camry,2011,169,167,9900
191,5,135,Front-wheel drive,Ford 3.5L 6 Cylinder 262 hp 248 ft-lbs,TRUE,6,6 Speed Automatic,17,Gasoline,24,Automatic transmission,2010 Ford Flex SEL,Ford,2010 Ford Flex,2010,262,248,15200
57,87,199,All-wheel drive,Chevrolet 3.6L 6 Cylinder 281 hp 266 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,23,Automatic transmission,2011 Chevrolet Traverse 2LT AWD,Chevrolet,2011 Chevrolet Traverse,2011,281,266,20100
203,223,64,Front-wheel drive,Buick 2.0L 4 Cylinder 220 hp 258 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,29,Automatic transmission,2012 Buick Regal Turbo Premium II Group,Buick,2012 Buick Regal,2012,220,258,16000
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2012 Chevrolet Colorado Work Truck AT,Chevrolet,2012 Chevrolet Colorado,2012,185,190,22600
95,253,212,Rear-wheel drive,Ford 3.7L 6 Cylinder 302 hp 278 ft-lbs FFV,TRUE,6,6 Speed Automatic,17,Gasoline,23,Automatic transmission,2011 Ford F-150 XLT SuperCrew 5.5-ft. Bed,Ford,2011 Ford F-150,2011,302,278,12500
148,47,29,All-wheel drive,Hyundai 2.4L 4 Cylinder 176 hp 168 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,28,Automatic transmission,2012 Hyundai Tucson GLS AWD,Hyundai,2012 Hyundai Tucson,2012,176,168,14500
191,5,135,All-wheel drive,Ford 3.5L 6 Cylinder 262 hp 248 ft-lbs,TRUE,6,6 Speed Automatic,16,Gasoline,23,Automatic transmission,2012 Ford Flex SEL AWD,Ford,2012 Ford Flex,2012,262,248,15400
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Manual,16,Gasoline,25,Manual transmission,2010 BMW 335i xDrive Sedan,BMW,2010 BMW 3 Series Sedan,2010,300,300,15200
226,214,173,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,TRUE,4,4 Speed Automatic,25,Gasoline,34,Automatic transmission,2011 Chevrolet Aveo  2LT AT,Chevrolet,2011 Chevrolet Aveo,2011,108,105,21000
218,169,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo V50 R-Design,Volvo,2011 Volvo V50,2011,227,236,12900
112,22,181,Rear-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,TRUE,4,4 Speed Automatic,17,Gasoline,23,Automatic transmission,2011 GMC Canyon SLE 2WD 3.7L,GMC,2011 GMC Canyon,2011,242,242,11500
57,87,199,Front-wheel drive,Chevrolet 3.6L 6 Cylinder 281 hp 266 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,24,Automatic transmission,2012 Chevrolet Traverse 2LT,Chevrolet,2012 Chevrolet Traverse,2012,281,266,21800
66,230,69,All-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2012 Volvo XC70 3.2 AWD Platinum,Volvo,2012 Volvo XC70,2012,240,236,15700
188,144,69,All-wheel drive,Saab 2.8L 6 Cylinder 300 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic,17,Gasoline,27,Automatic transmission,2011 Saab 9-5 Aero Sedan,Saab,2011 Saab 9-5 Sedan,2011,300,295,11500
1,95,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 620 hp 738 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2011 Maybach 57 S,Maybach,2011 Maybach 57,2011,620,738,86000
64,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,18,Automatic transmission,2012 Cadillac Escalade ESV,Cadillac,2012 Cadillac Escalade ESV,2012,403,417,15200
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2011 Hyundai Genesis Coupe 2.0T AT,Hyundai,2011 Hyundai Genesis Coupe,2011,210,223,16300
115,184,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,TRUE,5,5 Speed Automatic,9,E85,13,Automatic transmission,2010 Dodge Ram 1500 SLT Quad Cab 4x2,Dodge,2010 Dodge Ram 1500,2010,310,330,20600
144,169,85,Rear-wheel drive,Ford 4.6L 8 Cylinder 315 hp 325 ft-lbs,TRUE,5,5 Speed Manual,16,Gasoline,24,Manual transmission,2010 Ford Mustang GT Convertible,Ford,2010 Ford Mustang Convertible,2010,315,325,18000
109,228,125,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 323 hp 278 ft-lbs,TRUE,6,6 Speed Automatic,19,Gasoline,30,Automatic transmission,2012 Chevrolet Camaro Convertible 1LT AT,Chevrolet,2012 Chevrolet Camaro Convertible,2012,323,278,20200
150,8,196,Rear-wheel drive,Mercury 4.6L 8 cylinder 224hp 275 ft-lbs FFV,TRUE,4,4 Speed Automatic,12,E85,17,Automatic transmission,2011 Mercury Grand Marquis LS,Mercury,2011 Mercury Grand Marquis,2011,224,275,7600
34,41,79,Four-wheel drive,Jeep 3.8L 6 Cylinder 202 hp 237 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,19,Automatic transmission,2011 Jeep Wrangler Sahara AT,Jeep,2011 Jeep Wrangler,2011,202,237,20200
82,215,240,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,TRUE,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011,302,305,18400
117,21,41,All-wheel drive,Audi 3.2L 6 cylinder 270 hp 243 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,23,Automatic transmission,2011 Audi Q5 3.2,Audi,2011 Audi Q5,2011,270,243,12100
138,36,212,Four-wheel drive,Ford 4.6L 8 cylinder 248 hp 294 ft-lbs,TRUE,4,4 Speed Automatic,14,Gasoline,18,Automatic transmission,2010 Ford F-150 STX 6.5-ft. Bed 4X4,Ford,2010 Ford F-150,2010,248,294,14600
144,169,85,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,TRUE,6,6 Speed Automatic,19,Gasoline,31,Automatic transmission,2011 Ford Mustang V6 AT,Ford,2011 Ford Mustang Coup,2011,305,280,21600
99,144,148,Front-wheel drive,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,28,Gasoline,36,Automatic transmission,2012 MINI Cooper Coupe AT,MINI,2012 MINI Cooper Coupe,2012,121,114,10000
134,213,191,Rear-wheel drive,Lotus 1.8L 4 Cylinder 257 hp 174 ft-lbs S-charged,TRUE,6,6 Speed Manual,21,Gasoline,27,Manual transmission,2009 Lotus Exige S260,Lotus,2009 Lotus Exige,2009,257,174,46700
127,114,148,Front-wheel drive,MINI 1.6L 4 Cylinder 118 hp 114 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,25,Gasoline,33,Automatic transmission,2010 MINI Cooper Convertible AT,MINI,2010 MINI Cooper Convertible,2010,118,114,9200
161,10,214,Four-wheel drive,GMC 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,15,Gasoline,21,Automatic transmission,2010 GMC Yukon 4WD SLE,GMC,2010 GMC Yukon,2010,320,335,18600
203,28,57,Front-wheel drive,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,31,Automatic transmission,2011 Dodge Avenger Mainstreet,Dodge,2011 Dodge Avenger,2011,173,166,10600
159,249,107,Four-wheel drive,Lamborghini 5.2L 10 Cylinder 560 hp 398 ft-lbs,TRUE,6,6 Speed Manual,12,Gasoline,20,Manual transmission,2011 Lamborghini Gallardo Coupe LP 560-4 Spyder,Lamborghini,2011 Lamborghini Gallardo Coupe,2011,560,398,143000
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2011 Honda Civic EX Coup,Honda,2011 Honda Civic Coup,2011,140,128,17800
9,211,133,All-wheel drive,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,TRUE,5,5 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Dodge Durango Express AWD,Dodge,2011 Dodge Durango,2011,290,260,18600
188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,14,E85,19,Automatic transmission,2012 Ford Escape Limited FFV,Ford,2012 Ford Escape,2012,240,223,15700
93,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Toyota 4Runner Trail,Toyota,2011 Toyota 4Runner,2011,270,278,9600
158,255,8,Four-wheel drive,Kia 2.7L 6 Cylinder 173 hp 178 ft-lbs,TRUE,4,4 Speed Automatic Select Shift,18,Gasoline,23,Automatic transmission,2010 Kia Sportage EX 4WD,Kia,2010 Kia Sportage,2010,173,178,15000
236,30,74,Rear-wheel drive,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,TRUE,6,6 Speed Manual,13,Gasoline,19,Manual transmission,2011 Aston Martin V8 Vantage Roadster,Aston Martin,2011 Aston Martin V8 Vantage Roadster,2011,420,346,115000
57,48,79,Four-wheel drive,Ford 4.0L 6 Cylinder 210 hp 254 ft-lbs,TRUE,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2010 Ford Explorer Limited 4WD,Ford,2010 Ford Explorer,2010,210,254,13900
214,233,153,Front-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2012 Hyundai Veracruz Limited,Hyundai,2012 Hyundai Veracruz,2012,260,257,20700
125,36,166,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,TRUE,7,7 Speed Automatic Select Shift,18,Diesel fuel,24,Automatic transmission,2011 Mercedes-Benz R350 BlueTEC 4Matic,Mercedes,2011 Mercedes-Benz R-Class,2011,210,400,23300
170,157,130,Rear-wheel drive,Dodge 6.4L 8 Cylinder 470 hp 470 ft-lbs,TRUE,5,5 Speed Automatic,14,Gasoline,23,Automatic transmission,2012 Dodge Challenger SRT8 392,Dodge,2012 Dodge Challenger,2012,470,470,19500
167,127,102,Rear-wheel drive,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,TRUE,6,6 Speed Automatic Select Shift,15,Gasoline,21,Automatic transmission,2011 Jaguar XJL Supersport,Jaguar,2011 Jaguar XJ,2011,510,461,22500
79,215,237,Four-wheel drive,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,TRUE,6,6 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Chevrolet Silverado 1500 Extended Cab LTZ 4WD,Chevrolet,2010 Chevrolet Silverado 1500,2010,315,335,22200
198,219,100,All-wheel drive,Dodge 5.7L 8 Cylinder 368 hp 395 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,16,Gasoline,23,Automatic transmission,2010 Dodge Charger RT AWD,Dodge,2010 Dodge Charger,2010,368,395,36400
191,221,143,Front-wheel drive,Mazda 3.7L 6 Cylinder 273 hp 270 ft-lbs,TRUE,6,6 Speed Automatic,17,Gasoline,24,Automatic transmission,2012 Mazda CX-9 Grand Touring,Mazda,2012 Mazda CX-9,2012,273,270,14500
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,20,Gasoline,26,Manual transmission,2010 Chevrolet Colorado Extended Cab LT1,Chevrolet,2010 Chevrolet Colorado,2010,185,190,18300
214,167,52,Four-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,TRUE,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Jeep Grand Cherokee Laredo 4x4,Grand Cherokee,2010 Jeep Grand Cherokee,2010,210,235,20600
44,128,224,Rear-wheel drive,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2011 Ford E-150 Van Recreational,Ford,2011 Ford E-150 Van,2011,225,286,11300
8,41,55,Four-wheel drive,Jeep 3.8L 6 Cylinder 205 hp 240 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,19,Automatic transmission,2010 Jeep Wrangler Sport AT,Jeep,2010 Jeep Wrangler,2010,205,240,20700
172,101,88,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2011 Acura TL,Acura,2011 Acura TL,2011,280,254,11000
244,8,158,Front-wheel drive,Honda 1.5L 4 Cylinder 117 hp 106 ft-lbs,TRUE,5,5 Speed Automatic,28,Gasoline,35,Automatic transmission,2012 Honda Fit AT,Honda,2012 Honda Fit,2012,117,106,19400
181,125,209,Four-wheel drive,Ford 5.4L 8 cylinder 310 hp 365 ft-lbs FFV,TRUE,6,6 Speed Automatic,9,E85,13,Automatic transmission,2011 Ford Expedition Limited EL 4WD,Ford,2011 Ford Expedition,2011,310,365,18900
172,164,236,Rear-wheel drive,Infiniti 2.5L 6 Cylinder 218 hp 187 ft-lbs,TRUE,7,7 Speed Automatic,20,Gasoline,29,Automatic transmission,2011 Infiniti G25 Journey,Infiniti,2011 Infiniti G25,2011,218,187,17800
37,128,224,Rear-wheel drive,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,TRUE,4,4 Speed Automatic,12,Gasoline,15,Automatic transmission,2011 Ford E-150 Wagon XL 5.4L,Ford,2011 Ford E-150 Wagon,2011,255,350,15300
135,213,212,Rear-wheel drive,Ford 4.6L 8 cylinder 292 hp 320 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Ford F-150 XL SuperCab 8-ft. Bed  292 hp,Ford,2010 Ford F-150,2010,292,320,10900
220,155,183,Rear-wheel drive,Mazda 2.0L 4 Cylinder 167 hp 140 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,28,Automatic transmission,2010 Mazda MX-5 MiataTouring AT,Mazda,2010 Mazda MX-5 Miata,2010,167,140,11000
195,71,54,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,TRUE,5,5 Speed Automatic,19,Gasoline,29,Automatic transmission,2010 Honda Accord EX V-6 Sedan,Honda,2010 Honda Accord Sedan,2010,271,254,16000
173,63,92,Front-wheel drive,Kia 2.4L 4 Cylinder 191 hp 181 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,32,Automatic transmission,2012 Kia Sorento EX,Kia,2012 Kia Sorento,2012,191,181,13000
20,109,16,All-wheel drive,Porsche 3.8L 6 cylinder 385 hp 310 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2011 Porsche 911 Carrera 4S Cabriolet,Porsche,2011 Porsche 911 Cabriolet,2011,385,310,66500
161,10,214,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,15,Gasoline,21,Automatic transmission,2010 Chevrolet Tahoe LS,Chevrolet,2010 Chevrolet Tahoe,2010,320,335,16400
205,2,41,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,31,Automatic transmission,2012 Volkswagen Passat 2.5L SEL Premium,Volkswagen,2012 Volkswagen Passat,2012,170,177,19900
115,140,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,6,6 Speed Manual,24,Gasoline,29,Manual transmission,2009 Nissan Cube 1.8,Nissan,2009 Nissan Cube,2009,122,127,12100
41,20,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 266 hp 288 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,15,Gasoline,22,Automatic transmission,2012 Nissan Pathfinder Silver Edition,Nissan,2012 Nissan Pathfinder,2012,266,288,14000
144,200,191,Rear-wheel drive,Lotus 1.8L 4 Cylinder 240 hp 170 ft-lbs S-charged,TRUE,6,6 Speed Manual,20,Gasoline,26,Manual transmission,2009 Lotus Exige S240,Lotus,2009 Lotus Exige,2009,240,170,49200
200,153,239,Front-wheel drive,Hyundai 2.0L 4 cylinder 132hp 133 torque,TRUE,4,4 Speed Automatic,26,Gasoline,34,Automatic transmission,2010 Hyundai Elantra Sedan GLS PZEV,Hyundai,2010 Hyundai Elantra Sedan,2010,132,133,13400
168,245,209,Four-wheel drive,Ford 5.4L 8 cylinder 310 hp 365 ft-lbs FFV,TRUE,6,6 Speed Automatic,12,Gasoline,17,Automatic transmission,2010 Ford Expedition Limited EL 4WD,Ford,2010 Ford Expedition,2010,310,365,15700
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,TRUE,6,6 Speed Manual,16,Gasoline,26,Manual transmission,2011 Chevrolet Corvette Grand Sport Convertible 1LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,40500
111,116,224,Rear-wheel drive,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2011 Ford E-250 Van Commercial Extended,Ford,2011 Ford E-250 Van,2011,225,286,10900
127,144,148,Front-wheel drive,MINI 1.6L 4 Cylinder 208 hp 192 ft-lbs Turbo,TRUE,6,6 Speed Manual,25,Gasoline,33,Manual transmission,2012 MINI John Cooper Works Hardtop,MINI,2012 MINI Cooper Hardtop,2012,208,192,10900
244,141,46,Four-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,21,Automatic transmission,2010 Jeep Liberty Sport 4x4,Jeep,2010 Jeep Liberty,2010,210,235,11400
188,164,236,All-wheel drive,Infiniti 3.7L 6 cylinder 328 hp 269 ft-lbs,TRUE,7,7 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Infiniti G37x Sedan AWD,Infiniti,2011 Infiniti G37 Sedan,2011,328,269,17200
195,227,3,All-wheel drive,Subaru 2.5L 4 cylinder 265 hp 244 ft-lbs Turbo,TRUE,5,5 Speed Manual,19,Gasoline,25,Manual transmission,2011 Subaru Impreza WRX Premium Sedan,Subaru,2011 Subaru Impreza WRX Sedan,2011,265,244,8400
143,176,237,Four-wheel drive,Toyota 4.6L 8 Cylinder 310 hp 327 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,19,Automatic transmission,2010 Toyota Tundra Double Cab 4.6L 4X4,Toyota,2010 Toyota Tundra,2010,310,327,13800
158,16,217,Four-wheel drive,Chevrolet 6.0L 8 Cylinder 352 hp 382 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,10,Gasoline,15,Automatic transmission,2011 Chevrolet Suburban Three-Quarter-Ton LT  4WD,Chevrolet,2011 Chevrolet Suburban Three-Quarter-Ton,2011,352,382,21300
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,25,Automatic transmission,2011 Chevrolet Corvette Grand Sport Convertible 4LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,54000
193,226,186,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,TRUE,5,5 Speed Manual,29,Gasoline,38,Manual transmission,2012 Ford Fiesta SES Hatchback,Ford,2012 Ford Fiesta Hatchback,2012,120,112,13000
234,127,57,Four-wheel drive,Suzuki 4.0L 6 Cylinder 261 hp 281 ft-lbs,TRUE,5,5 Speed Automatic,15,Gasoline,19,Automatic transmission,2010 Suzuki Equator Sport Extended Cab 4x4,Suzuki,2010 Suzuki Equator,2010,261,281,8100
188,68,97,Front-wheel drive,Hyundai 3.5L 6 Cylinder 276 hp 248 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2011 Hyundai Santa Fe GLS 3.5,Hyundai,2011 Hyundai Santa Fe,2011,276,248,10900
181,140,206,Four-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,24,Manual transmission,2010 Chevrolet Colorado Extended Cab LT1 4WD,Chevrolet,2010 Chevrolet Colorado,2010,185,190,16900
223,82,52,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,25,Automatic transmission,2011 Chevrolet Corvette Convertible 4LT AT,Chevrolet,2011 Chevrolet Corvette Convertible,2011,430,424,45500
117,91,249,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,15,Gasoline,23,Automatic transmission,2010 Mercedes-Benz E550 Coupe,Mercedes,2010 Mercedes-Benz E-Class Coupe,2010,382,391,21300
135,253,212,Four-wheel drive,Ford 5.0L 8 Cylinder 360 hp 380 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,19,Automatic transmission,2011 Ford F-150 FX4 SuperCab 6.5-ft. Bed 4X4,Ford,2011 Ford F-150,2011,360,380,19400
221,81,13,Rear-wheel drive,Infiniti 3.7L 6 cylinder 330 hp 270 ft-lbs,TRUE,7,7 Speed Automatic,18,Gasoline,26,Automatic transmission,2011 Infiniti M M37,Infiniti,2011 Infiniti M,2011,330,270,20500
120,47,29,Front-wheel drive,Hyundai 2.0L 4 Cylinder 165 hp 146 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,23,Gasoline,31,Automatic transmission,2011 Hyundai Tucson GL AT,Hyundai,2011 Hyundai Tucson,2011,165,146,13800
224,212,146,Rear-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,TRUE,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Jeep Grand Cherokee Limited 5.7L 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,17700
